id,title,timestamp,reference,topics,oeil_subjects,eurovoc_concepts,result,topics_filled,topics_effective
168276,Increasing the attractiveness of public capital markets and facilitating access to capital for SMEs – amending directive,2024-04-24T17:33:44,A9-0303/2023,,"Free movement of capital, Securities and financial markets, stock exchange, CIUTS, investments, Small and medium-sized enterprises (SME), craft industries","investment protection, financial instrument, small and medium-sized enterprises, stock-exchange listing, code of conduct, harmonisation of standards, company research, investment company, securities, capital market, financial legislation, service concession, European Securities and Markets Authority, issue of securities",ADOPTED,Economy and budget,Economy and budget
168278,"Amending Regulation (EU) No 575/2013 as regards requirements for credit risk, credit valuation adjustment risk, operational risk, market risk and the output floor",2024-04-24T17:51:06,A9-0030/2023,,"Securities and financial markets, stock exchange, CIUTS, investments, Banks and credit, Financial services, financial reporting and auditing, Financial supervision","banking policy, credit policy, credit institution, investment company, financial requirements, financial legislation, financial supervision, EU banking union, financial risk",ADOPTED,Economy and budget,Economy and budget
168282,Establishing the Reform and Growth Facility for the Western Balkans,2024-04-24T13:10:16,A9-0085/2024,"Foreign affairs, Enlargement","Financial and technical cooperation and assistance, Relations with South-East Europe and the Balkans, Candidate countries, Pre-accession and partnership","EU financial instrument, economic integration, regional integration, investment, economic convergence, economic growth, Western Balkans, social change, economic reform, financial aid",ADOPTED,"Foreign affairs, Enlargement","Foreign affairs, Enlargement"
168286,Managed security services***I,2024-04-24T17:38:43,A9-0307/2023,Digital,"Information and communication technologies, digital technologies, Cybersecurity, cyberspace policy, International information networks and society, internet","trade licence, provision of services, computer crime, information technology, security services, information security, risk management",ADOPTED,Digital,Digital
168297,Increasing the attractiveness of public capital markets and facilitating access to capital for SMEs – amending certain regulations,2024-04-24T17:33:19,A9-0302/2023,,"Free movement of capital, Securities and financial markets, stock exchange, CIUTS, investments, Small and medium-sized enterprises (SME), craft industries","investment protection, trade information, third country, small and medium-sized enterprises, stock-exchange listing, publication, single market, harmonisation of standards, securities, disclosure of information, insider trading, financial legislation, issue of securities, European Securities and Markets Authority, capital markets union, official market, capital market",ADOPTED,Economy and budget,Economy and budget
168299,Amending certain directives as regards the establishment of the Single Market Emergency Instrument,2024-04-24T12:40:06,A9-0245/2023,Consumer protection,"Internal market, single market, Standardisation, EC/EU standards and trade mark, certification, compliance, Safety of products and services, product liability","goods and services, single market, technical specification, European standard, harmonisation of standards, security of supply, market supervision, market approval, EC conformity marking, crisis management",ADOPTED,Consumer protection,Consumer protection
168307,Corporate sustainability due diligence,2024-04-24T12:50:03,A9-0184/2023,Climate and environment,"Company law, Sustainable development","environmental protection, environmental impact, company law, labour law, economic instrument for the environment, human rights, environmental liability, corporate governance, corporate social responsibility, value chain",ADOPTED,Climate and environment,Climate and environment
168309,Ambient air quality and cleaner air for Europe,2024-04-24T12:38:57,A9-0233/2023,Climate and environment,"Atmospheric pollution, motor vehicle pollution","pollution control, air quality, prevention of pollution, quality of the environment, environmental impact, environmental monitoring, environmental cooperation, environmental standard, EU environmental policy",ADOPTED,Climate and environment,Climate and environment
168311,Single Market Emergency Instrument,2024-04-24T12:39:19,A9-0246/2023,,"Internal market, single market, Free movement of goods, Free movement of persons, Free movement of services, freedom to provide, Common commercial policy in general","free movement of goods, free movement of persons, freedom to provide services, goods and services, single market, security of supply, market approval, crisis management",ADOPTED,"Economy and budget, International trade","Economy and budget, International trade"
168320,European Union labour market statistics on businesses,2024-04-24T17:42:41,A9-0054/2024,"Economy and budget, Worker’s rights","Employment policy, action to combat unemployment, Employment: guidelines, actions, Funds, Workforce, occupational mobility, job conversion, working conditions, Convergence of economic policies,  public deficit, interest rates, European statistical legislation","labour force, statistical method, EU employment policy, employment statistics, pay, EU statistics, economic statistics, data collection, exchange of information, type of business",ADOPTED,"Economy and budget, Worker’s rights","Economy and budget, Worker’s rights"
168324,Trans-European transport network,2024-04-24T12:31:02,A9-0147/2023,,Trans-European transport networks,"transport infrastructure, transport planning, common transport policy, transport network, combined transport, project of common interest, trans-European network, sustainable mobility, carbon neutrality",ADOPTED,Transport,Transport
168334,Amendment of Regulation (EU) 2016/2031 on protective measures against pests of plants,2024-04-24T17:29:17,A9-0035/2024,"Climate and environment, Food and agriculture, Biodiversity","Plant health legislation , Protection of natural resources: fauna, flora, nature, wildlife, countryside; biodiversity","plant disease, plant health control, marketing standard, import (EU), import restriction, management information system, plant health treatment, disclosure of information, health certificate, exchange of information, surveillance concerning imports, expert group (EU), pest",ADOPTED,"Climate and environment, Food and agriculture, Biodiversity","Climate and environment, Food and agriculture, Biodiversity"
168336,The sixth Anti-Money Laundering Directive,2024-04-24T17:51:59,A9-0150/2023,,"Electronic money and payments, cross-border credit transfers, Financial supervision, Action to combat terrorism , Capital outflow, money laundering ","financial institution, fight against crime, banking supervision, financial transaction, money laundering, economic offence, exchange of information, financial supervision, terrorism financing ",ADOPTED,"Economy and budget, Security and Justice","Economy and budget, Security and Justice"
168338,Mobilisation of the European Globalisation Adjustment Fund: Application EGF/2023/004 DK/Danish Crown – Denmark,2024-04-24T12:53:50,A9-0171/2024,"Worker’s rights, Economy and budget","Food industry, Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF), 2024 budget","meat processing industry, dismissal, reintegration into working life, general budget (EU), globalisation, employment aid, commitment of expenditure, Nordjylland (region), European Globalisation Adjustment Fund",ADOPTED,"Worker’s rights, Economy and budget","Worker’s rights, Economy and budget"
168342,"Transparency and integrity of Environmental, Social and Governance (ESG) rating activities",2024-04-24T17:31:59,A9-0417/2023,Climate and environment,"Securities and financial markets, stock exchange, CIUTS, investments, Insurance, pension funds, Financial services, financial reporting and auditing, Sustainable development","trade information, investment, environmental impact, capital market, disclosure of information, financial legislation, administrative transparency, corporate governance, social impact, sustainable finance",ADOPTED,Climate and environment,Climate and environment
168348,Treatment of concentration risk arising from exposures towards central counterparties and of counterparty risk in centrally cleared derivative transactions,2024-04-24T17:32:55,A9-0399/2023,,"Securities and financial markets, stock exchange, CIUTS, investments, Banks and credit, Insurance, pension funds, Financial services, financial reporting and auditing, Financial supervision","financial control, private-sector liquidity, credit institution, investment company, financial transaction, securities, capital market, financial legislation, financial supervision, financial derivative",ADOPTED,Economy and budget,Economy and budget
168350,Company law – further expanding and upgrading the use of digital tools and processes,2024-04-24T17:46:18,A9-0394/2023,,Company law,"registration of a company, administrative check, cross-frontier data flow, harmonisation of standards, access to information, administrative formalities, right of establishment, company law, systems interconnection, digitisation, digital transformation, digital single market, administrative cooperation, small and medium-sized enterprises, single market",ADOPTED,Economy and budget,Economy and budget
168352,Amending certain regulations as regards the establishment of the Single Market Emergency Instrument,2024-04-24T12:39:43,A9-0244/2023,Consumer protection,"Internal market, single market, Standardisation, EC/EU standards and trade mark, certification, compliance, Safety of products and services, product liability","goods and services, single market, harmonisation of standards, security of supply, market supervision, cable transport, gas appliance, market approval, protective equipment, crisis management",ADOPTED,Consumer protection,Consumer protection
